㐀	丘
㐅	五
㐊	㐋
㐋	㐊
㐫	凶
㐮	襄
㐯	庸
㐱	鬒
㐴	攀
㐵	儒
㐷	傌
㐹	㑶
㐽	偑
㑁	𠭴
㑄	侮
㑇	㑳
㑈	倲
㑌	尩
㑔	㑯
㑝	𢙱
㑩	儸
㑮	𫝈
㑯	㑔
㑳	㑇
㑶	㐹
㑺	儁
㒇	儛
㒋	廝 厮
㒓	𠉂
㒚	穩 文
㒜	𠇐
㒞	儶
㒣	𬾖
㒰	全
㒲	財
㒷	興
㒿	𰖩
㓁	网
㓄	𪠟
㓓	湳
㓕	滅
㓖	滭 𰃻
㓗	潔
㓟	披
㓥	劏
㓨	刾
㓮	雕 彫
㓷	劓
㓸	斲
㔃	𫦌
㔅	𫦅
㔉	劚
㔋	𪟎
㔍	䥷
㔝	𫦩
㔢	𫦳
㔱	斞
㔾	卩
㕑	𢊍 厨
㕒	𰆕
㕚	爪 爫
㕞	刷
㕢	𰇀
㖈	䎛
㖊	噚
㖞	喎
㖦	𰇎
㖮	𪠵
㗖	啗 啖 噉
㗙	𫩩
㗢	𰇖
㗣	𫪺
㗰	𫩛
㗲	𠵾
㗳	嗒
㗶	𭇜
㗻	𫪀
㗼	𫩤
㗿	𪡛
㘅	銜 啣
㘎	㘚
㘓	𪢌
㘔	𫬐
㘖	𰉁
㘙	𫪂
㘚	㘎
㘤	𡈛
㘽	㦳
㙔	𰉘
㙡	𭎂
㙢	𰊟
㙬	𫮜
㙮	塔
㙳	轗
㙺	𰊛
㙾	𰉽
㚝	奞 奎
㚣	姣
㚯	㜄
㛀	媰
㛛	娠
㛝	𫝦
㛟	𡞵
㛠	𡢃
㛣	㜏
㛤	孋
㛿	𡠹
㜄	㚯
㜏	㛣
㜐	𫝧
㜗	𡞋
㜞	𰌆
㜢	𡞱
㜥	𫰨
㜭	𫰠
㜮	𫱕
㜷	𡝠
㜺	𫲗
㝃	娩
㝛	宿
㝞	𫳃
㝟	𫤸
㝦	寯
㝵	礙 碍
㞐	居
㞞	𪨊
㟆	㠏
㟗	豳 邠
㟜	𡾱
㟥	嵾
㟺	𪩇
㠁	𫶅
㠊	嶇
㠏	㟆
㠠	𰎐
㠣	𫵷
㠯	以
㠶	帆
㡎	幓
㡓	𫷅
㡘	𢅏
㡞	𰏜
㡿	斥
㢗	𪪑
㢝	𢋈
㣶	邅
㣺	心
㣼	忍
㤒	笨
㤖	懧
㤘	㥮
㤭	憍
㤲	𫺁
㤵	慈
㤽	懤
㥃	悶 懣
㥪	慺
㥮	㤘
㥵	慁
㥷	𰑸
㦈	𢣏
㦊	𫺆
㦎	𢛯
㦖	𫺓
㦛	𢗓
㦞	𪫷
㦦	𫻁
㦧	憯
㦬	𰑫
㦭	𭝋
㦳	㘽
㧃	收
㧏	掆
㧐	㩳
㧑	撝
㧖	扼 搤
㧛	擥
㧜	擸
㧟	擓
㧰	擽
㨉	抿
㨗	捷
㨛	𰓔
㨟	𫼥
㨥	𫽀
㨨	㩅
㨫	㩜
㨻	𪮃
㨼	撂
㩁	搉
㩅	㨨
㩇	𫽇
㩋	𪮋
㩌	𫽧
㩜	攬 㨫 擥
㩣	𫾉
㩭	𫽊
㩳	㧐
㩵	擜
㩷	𰔲
㩹	𢶣
㪅	更
㪎	𪯋
㪯	舉
㪹	𬖠
㫃	偃
㫎	幑 𣄈
㫚	昒 曶
㬅	曼
㬣	𬀮
㬮	𰖠
㬱	朁
㬵	胶
㬹	踭
㬺	幐
㬻	䐠
㭎	棡
㭏	椲
㭑	枺
㭣	𣙎
㭤	樢
㭨	椰
㭴	樫
㮓	𣕲
㮝	𣒗
㮠	𣞁
㮣	槪 槩
㮲	𰗙
㯂	𰘀
㯃	桼 漆
㯆	𰗡
㯤	𣘐
㯭	櫓 樐
㯶	棕
㯸	𰗦
㯼	𣙥
㯽	檳
㰂	𰗵
㰅	𭫙
㰍	𬺜 櫳
㰰	𬅢
㰳	𭭈
㱩	殰
㱮	殨
㱿	壳 殼
㲒	勽
㲓	毧
㲯	𰚪
㲰	𰚔
㲲	𬇇
㲿	瀇
㳄	涎
㳔	濧
㳕	灡
㳠	澾
㳡	濄
㳢	𣾷
㳽	瀰
㴋	潚
㴑	溯
㴔	潝
㴸	𰛛
㴿	𰛽
㵍	𬇰
㵑	𰜢
㵒	沸 𬈕
㵗	𣳆
㵤	𬉇
㵾	𪷍
㶆	𫞛
㶉	鸂
㶌	𣾍
㶍	𰝟
㶏	𰝋
㶒	𰛩
㶕	𰝗
㶶	燶
㶽	煱
㷃	𰝾
㷉	熨
㷍	𤆢
㷠	燐 粦
㷪	𤎱
㷲	𰞉
㷶	𰞲
㷻	𭴊 煳
㷿	𤈷
㸅	𰞍
㸊	𬋍
㸐	𬊾
㹓	𰠴
㹽	𫞣
㺍	獱
㺏	𤠋
㺑	𬌷
㺜	𪺻
㻅	璯
㻏	𤫩
㻘	𤪺
㻪	㻽
㻶	𪼋
㻽	㻪
㼆	𬎆
㼈	𭹜
㼻	𬎧
㽣	域
㽽	痼
㾙	脪
㾡	𤷽
㾵	𬏟
㾺	𬏜
㿉	𰣶
㿎	𬏷
㿖	𪽮
㿗	𤻊
㿟	皎 皦
㿧	𤽯
㿷	糙
㿹	𰤨
䀉	𥁢
䀋	鹽
䀍	𰥊
䀠	瞿
䀢	瞬
䀥	䁻
䀴	𬑏
䀹	睫 𥅴 鿃
䀿	晣
䁖	瞜
䁝	𰥞
䁪	𥇢
䁱	𬑒
䁻	䀥
䂀	𥋟
䂎	𥎝
䂓	𰦔
䂫	夯
䂵	碽
䃁	𰦴
䃅	磾
䃉	珉
䃕	𰦷
䃘	𬒎 硜
䃢	𰧎
䃣	𰦨
䃤	𬒕
䃮	鿎
䃴	𰧘
䄃	殃
䄍	蜡
䄯	𢆞
䄺	稊
䅉	稏
䅐	𫀨
䅘	𥟂
䅟	穇
䅪	𥢢
䅳	𫀬
䆅	𰨳
䆉	𫁂
䆋	秋
䆔	竉
䆫	窓 窗
䇓	𰩧
䇚	𥵜
䇲	筴
䈇	罩
䉍	𬕊
䉐	𬕛
䉑	𫁲
䉙	𥬀
䉤	籔
䉬	𫂈
䉱	𬕦
䉲	𥮜
䉵	籑 饌
䉶	𫁷
䊜	𰪫 糰
䊟	𰫋
䊭	𥺅
䊲	𬡻
䊵	𮉠
䊷	䌶
䊺	𫄚
䋃	𫄜
䋆	𰬁
䋍	𰬂
䋎	𬘜
䋏	𮉣
䋐	𬘙
䋑	𰬃
䋔	𫄞
䋙	䌺
䋚	䌻
䋦	𫄩
䋫	𰬑
䋲	繩
䋹	䌿
䋺	𬘴
䋻	䌾
䋼	𫄮
䋽	𰬭
䋾	𬘲
䋿	𦈓
䌁	𬘱
䌇	𰬱
䌈	𦈖
䌋	𦈘
䌌	𰬶
䌐	𬘮
䌖	𦈜
䌝	𦈟
䌞	𬘪
䌟	𦈞
䌥	縯 𦈠
䌪	𬙁
䌫	纜
䌰	𦈙
䌶	䊷
䌷	紬
䌸	縳
䌹	絅
䌺	䋙
䌻	䋚
䌼	綐
䌽	綵
䌾	䋻
䌿	䋹
䍀	繿
䍁	繸
䍤	𫅅
䍷	𬙭
䍽	𦍠
䎘	𬚄
䎙	𫅭
䎛	㖈
䎬	䎱
䎱	䎬
䏊	𰭹
䏓	朊
䏕	飪
䏝	膞
䐠	㬻
䐢	𰮙
䐣	𬁽
䐪	臇
䐰	饈
䐷	𬂅
䐹	𰮲
䐽	𰯎
䑃	朦
䑗	𬛹
䑼	𰰌
䒒	苕
䓓	薵
䓕	薳
䓣	𬜯
䔇	𰰴
䔈	𰱀
䔛	檾
䔡	𬝁
䕌	稚
䕡	𰱩
䕤	𫟕
䕳	𦰴
䕹	𰰶
䕼	𬝴
䖀	𰲖
䖅	𫟑
䖈	虐
䖍	虔
䖏	処 處
䖚	𰲟
䖟	蝱
䖣	蚤
䖵	蜫
䖼	𧍕
䗃	𰲳
䗅	𫊪
䗖	螮
䗥	𰲯
䗻	𮔂
䗽	𰳚
䗿	𧉞
䘑	脉
䘚	卒
䘛	𧝞
䘞	𧜗
䘺	綻
䙊	𧜵
䙌	䙡
䙓	襬
䙔	𫋲
䙝	褺 褻
䙡	䙌
䙱	𧜭
䙼	𰴖
䚆	𬢑
䚉	𬢐
䚎	𥅾
䚕	𰴗
䚞	𰴤
䚩	𫌯
䚳	𬣛
䚵	𬣟
䚶	訞
䚽	𬣜
䛀	𰵐
䛄	𫍠
䛌	𰵜
䛍	𬣧
䛓	譼
䛘	𬣯
䛛	𬣬
䛞	𬣸
䛠	𰵫
䛡	話
䛤	𬣹
䛬	𬤁
䛭	𰵰
䛳	𫍫
䛻	誘
䛼	譭
䛽	𬤌
䛿	𬤑
䜀	䜧
䜄	𰶈
䜉	𬤘
䜊	嘈
䜋	𬤉
䜍	𬤟
䜎	𬣿
䜏	𰶇
䜒	𬤡
䜖	𫟢
䜚	𬤪
䜝	𬤬
䜣	訢
䜤	鿁
䜥	𧩙
䜧	䜀
䜩	讌
䜶	豇
䝋	豵
䝏	𰶬
䝕	𬥄
䝙	貙
䝜	狻
䝤	獠
䝭	𫎧
䝯	𬥵
䝻	𧹕
